"","...1","seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"1",1,"2",228336171,228337874,1704,"*",12,0,1.76609656492191e-34,8.77469933007593e-13,1.44237685674367e-34,-0.416509289529579,-0.110241600797004,"MIR5703, AGFG1"
"2",2,"4",78077151,78079628,2478,"*",12,0,5.40494586447317e-28,1.77126414116136e-11,3.87718142215242e-33,-0.378644233951874,-0.109935206651343,"CCNG2"
"3",3,"4",2926894,2928238,1345,"*",5,0,1.80258214704645e-21,5.45035461813371e-13,1.20551537562593e-26,-0.340111233219773,-0.100126717017433,"ADD1"
"4",4,"2",217471148,217472042,895,"*",3,0,2.39232628199579e-24,1.09683746877783e-13,3.75075875934246e-26,-0.173806268527881,-0.102601775322537,"AC073321.4, AC073321.3"
"5",5,"15",100272142,100274248,2107,"*",17,0,1.51817922209495e-18,1.4050794500615e-12,1.91364368545904e-25,-0.412109477762168,-0.107164303349208,"LYSMD4"
"6",6,"3",167812510,167814123,1614,"*",11,0,1.3522301417505e-22,3.94422275756726e-12,2.60628540872948e-25,-0.296661897537654,-0.102994833676541,"GOLIM4"
"7",7,"1",112938339,112939192,854,"*",8,0,2.74218538761221e-22,5.84979967800801e-13,5.6202020632338e-25,0.389138730649947,0.123037551000375,"CTTNBP2NL"
"8",8,"2",193058203,193061253,3051,"*",10,0,1.28664661842451e-23,1.34885499974875e-12,7.39806464020918e-25,-0.304186282794759,-0.100751480742637,"TMEFF2"
"9",9,"2",61990829,61991905,1077,"*",6,0,2.97434072808809e-23,4.38734929188668e-13,1.51430316581582e-24,0.478222188604693,0.140338655703921,NA
"10",10,"4",111397134,111398146,1013,"*",5,0,6.12601826880571e-19,3.67295443408843e-13,1.9968578588494e-24,-0.19748474527897,-0.10426747697841,"ENPEP"
"11",11,"4",4386726,4389918,3193,"*",15,0,2.29121030195301e-20,1.39549067209951e-10,1.65531916332283e-23,-0.510071682230375,-0.107600766819284,"NSG1"
"12",12,"1",228465440,228466971,1532,"*",8,0,3.75351012817269e-18,5.86711533494937e-13,5.86571859337404e-23,-0.395667733703256,-0.105519159355203,"OBSCN"
"13",13,"3",194353432,194354433,1002,"*",9,0,9.0729194476243e-19,1.91187357642583e-12,2.53214901548344e-22,-0.582304440725987,-0.141382511567251,"AC046143.3, TMEM44"
"14",14,"19",18548004,18550061,2058,"*",14,0,1.80061918936105e-16,1.02371496643949e-12,1.07033251655341e-21,-0.337472867075984,-0.122578866949387,"ISYNA1"
"15",15,"20",1246100,1247526,1427,"*",10,0,8.68371582834207e-18,1.74900680291425e-12,1.67355983884695e-21,-0.290830923604088,-0.109899079891087,"RAD21L1, SNPH"
"16",16,"1",166808266,166809407,1142,"*",9,0,9.61368687452484e-19,6.61462000223224e-13,4.42638223785144e-21,-0.272798162419564,-0.103608835268645,"POGK"
"17",17,"2",179314738,179316481,1744,"*",17,2.16744846363776e-101,3.16928736827267e-21,0.00057603247206281,4.56903744154322e-21,-0.354951291148431,-0.102344742340072,"DFNB59, PRKRA"
"18",18,"4",7774382,7774950,569,"*",5,0,2.42602917467286e-18,3.36972262643846e-12,6.86290795932614e-21,-0.491634847040122,-0.172390746609367,"AFAP1-AS1, AFAP1"
